Program,MemoryMiB,InputMiB,NumThreads,Runtime,ReadIO,WriteIO,TotalIO
IntroSort,256,256,8,8,299.078,722.936,1022.01
IntroSort,256,256,1,33,302.068,574.022,876.089
IntroSort,256,256,8,12,409.928,492.663,902.59
IntroSort,256,256,1,46,463.43,722.104,1185.53
IntroSort,256,256,8,19,467.775,539.673,1007.45
IntroSort,256,256,1,51,566.657,780.014,1346.67
IntroSort,256,512,8,37,1554.58,1412.32,2966.9
IntroSort,256,512,1,89,1530.81,1626.12,3156.93
IntroSort,256,512,8,49,1770.58,1576.8,3347.37
IntroSort,256,512,1,134,1652.89,1745.24,3398.13
IntroSort,256,512,8,55,1685.51,1432.88,3118.39
IntroSort,256,512,1,152,2148.91,1696.95,3845.86
IntroSort,256,1024,8,113,4783.63,3455.76,8239.39
IntroSort,256,1024,1,211,4408.81,4011.04,8419.86
IntroSort,256,1024,8,147,5082.37,3551.96,8634.33
IntroSort,256,1024,1,375,5604.58,3913.12,9517.7
IntroSort,256,1024,8,145,4760.33,3693.6,8453.94
IntroSort,256,1024,1,359,4972.07,3999.03,8971.1
IntroSort,256,2048,8,302,11953.7,8171.95,20125.7
IntroSort,256,2048,1,490,12185.8,8762.29,20948
IntroSort,256,2048,8,352,13107.9,8143.02,21250.9
IntroSort,256,2048,1,834,12265.7,8754.69,21020.4
IntroSort,256,2048,8,418,13112.2,8354.5,21466.7
IntroSort,256,2048,1,872,12740,9351.1,22091.1
IntroSort,256,4096,8,740,29068,18028.8,47096.8
IntroSort,256,4096,1,1171,31285.2,19927.7,51212.8
IntroSort,256,4096,8,881,31325.2,19105.6,50430.8
IntroSort,256,4096,1,1959,30905.4,20048.5,50953.9
IntroSort,256,4096,8,1008,31341.2,18969.9,50311.1
IntroSort,256,4096,1,2046,34068.9,20201.2,54270.1
IntroSort,256,8192,8,1840,75654.4,41024.5,116679
IntroSort,256,8192,1,2525,72888.9,44881.3,117770
IntroSort,256,8192,8,3171,72409.3,41472.8,113882
IntroSort,256,8192,1,5671,70106.7,45165.2,115272
IntroSort,256,8192,8,2306,71294,42791.4,114085
IntroSort,256,8192,1,4711,73253.5,44699.1,117953
IntroSort,256,16384,8,4819,157766,91830.7,249596
IntroSort,256,16384,1,5911,167587,99687.7,267274
IntroSort,256,16384,8,5126,79881.4,59422,139303
IntroSort,256,16384,1,7809,35705.7,82092.1,117798
IntroSort,256,16384,8,6553,163987,95119.3,259106
IntroSort,256,16384,1,11687,169171,99878.8,269049
